name,band,followers,band_followers,follower_difference
Daron Jones,112,1.28k,783k,−782k
Slim,112,2.14k,783k,−781k
Q Parker,112,3.51k,783k,−780k
JC Chasez,*NSYNC,30.8k,1.44M,−1.41M
Joey Fatone,*NSYNC,1.13k,1.44M,−1.44M
Justin Timberlake,*NSYNC,10.3M,1.44M,8.90M
Ashton Irwin,5 Seconds of Summer,130k,7.14M,−7.01M
Abz Love,5ive,223,19.0k,−18.7k
Jeff Timmons,98º,111,302k,−302k
Nick Lachey,98º,142k,302k,−160k
Romeo Santos,Aventura,12.3M,4.38M,7.88M
Henry Santos,Aventura,40.0k,4.38M,−4.34M
Marc Nelson,Az Yet,1.61k,181k,−180k
Omarion,B2K,1.96M,532k,1.43M
AJ McLean,Backstreet Boys,28.0k,3.68M,−3.65M
Brian Littrell,Backstreet Boys,27.6k,3.68M,−3.65M
Howie D,Backstreet Boys,19.3k,3.68M,−3.66M
Nick Carter,Backstreet Boys,144k,3.68M,−3.53M
Christian Burns,BBMak,7.74k,60.1k,−52.3k
Carlos Pena Vega,Big Time Rush,12.0k,2.04M,−2.03M
James Maslow,Big Time Rush,61.7k,2.04M,−1.98M
Kendall Schmidt,Big Time Rush,23.6k,2.04M,−2.02M
Logan Henderson,Big Time Rush,64.9k,2.04M,−1.97M
Teddy Riley,Blackstreet,11.3k,545k,−534k
Shawn Stockman,Boyz II Men,4.17k,2.02M,−2.02M
j-hope,BTS,5.33M,29.4M,−24.0M
RM,BTS,4.74M,29.4M,−24.6M
SUGA,BTS,389k,29.4M,−29.0M
V,BTS,2.47M,29.4M,−26.9M
Kevin Thornton,Color Me Badd,12.0,318k,−318k
Mark Calderon,Color Me Badd,35.0,318k,−318k
Big Mike,Day26,50.9k,218k,−168k
Brian Angel,Day26,635,218k,−218k
Robert Curry,Day26,239,218k,−218k
Willie Taylor,Day26,23.5k,218k,−195k
Damon Sharpe,Guys Next Door,1.06k,2.82k,−1.76k
Tony Thompson,Hi-Five,2.75k,370k,−368k
Young Rome,Immature,610,105k,−104k
Marques Houston,Immature,597k,105k,492k
Mr. Dalvin,Jodeci,266,1.32M,−1.32M
Jojo Hailey,Jodeci,339,1.32M,−1.32M
K-Ci,Jodeci,2.22k,1.32M,−1.32M
Joe Jonas,Jonas Brothers,1.26M,4.94M,−3.69M
Nick Jonas,Jonas Brothers,7.06M,4.94M,2.12M
Charlie Masso,Menudo,839,228k,−227k
Miguel Cancel,Menudo,352,228k,−227k
Ray Acevedo,Menudo,116,228k,−228k
Ricky Martin,Menudo,5.75M,228k,5.52M
Draco Rosa,Menudo,103k,228k,−125k
Santo August,Mindless Behavior,4.69k,198k,−193k
Dennis Seaton,Musical Youth,6.00,21.6k,−21.6k
Kelvin Grant,Musical Youth,29.0,21.6k,−21.6k
Bobby Brown,New Edition,725k,1.04M,−313k
Johnny Gill,New Edition,636k,1.04M,−402k
Ralph Tresvant,New Edition,250k,1.04M,−789k
Ricky Bell,New Edition,59.0,1.04M,−1.04M
Danny Wood,New Kids On The Block,4.73k,508k,−503k
Joey McIntyre,New Kids On The Block,49.1k,508k,−459k
Jordan Knight,New Kids On The Block,66.4k,508k,−442k
Brian Desveaux,Nine Days,32.0,69.4k,−69.3k
Rigo Luna,Nu Flavor,584,17.1k,−16.6k
Harry Styles,One Direction,12.8M,20.1M,−7.25M
Liam Payne,One Direction,7.22M,20.1M,−12.8M
Louis Tomlinson,One Direction,4.59M,20.1M,−15.5M
Niall Horan,One Direction,6.79M,20.1M,−13.3M
ZAYN,One Direction,14.6M,20.1M,−5.47M
Static Major,Playa,3.94k,30.0k,−26.0k
Smoke E. Digglera,Playa,1.10k,30.0k,−28.9k
Garfield Bright,Shai,86.0,512k,−512k
Gary 'G' Jenkins,Silk,619,801k,−800k
Angel Lopez,Son By Four,4.13k,75.8k,−71.7k
Jase4Real,Soul For Real,123,396k,−396k
Gary Barlow,Take That,250k,960k,−710k
Howard Donald,Take That,658,960k,−959k
Mark Owen,Take That,22.1k,960k,−938k
Robbie Williams,Take That,2.12M,960k,1.16M
Eric Dill,The Click Five,746,177k,−177k
,The Wanted,245,2.19M,−2.19M
Max George,The Wanted,12.6k,2.19M,−2.18M
Nathan Sykes,The Wanted,473k,2.19M,−1.72M
Allen McNeil,Troop,81.0,295k,−294k
Steve Russell,Troop,231,295k,−294k
Brian McFadden,Westlife,70.1k,2.05M,−1.98M
Markus Feehily,Westlife,11.2k,2.05M,−2.04M
Nicky Byrne,Westlife,8.53k,2.05M,−2.04M
Shane Filan,Westlife,105k,2.05M,−1.95M
Beyoncé,Destiny's Child,26.2M,4.63M,21.6M
Kelly Rowland,Destiny's Child,2.56M,4.63M,−2.07M
Michelle Williams,Destiny's Child,171k,4.63M,−4.46M
LeToya Luckett,Destiny's Child,340k,4.63M,−4.29M
Farrah Franklin,Destiny's Child,249,4.63M,−4.63M
T-Boz,TLC,352,2.50M,−2.50M
"Lisa ""Left Eye"" Lopes",TLC,14.9k,2.50M,−2.49M
Mel B,Spice Girls,103k,2.13M,−2.03M
Melanie C,Spice Girls,231k,2.13M,−1.90M
Emma Bunton,Spice Girls,132k,2.13M,−2.00M
Geri Halliwell,Spice Girls,130k,2.13M,−2.00M
Victoria Beckham,Spice Girls,75.7k,2.13M,−2.06M
Ally Brooke,Fifth Harmony,370k,12.2M,−11.8M
Normani,Fifth Harmony,1.10M,12.2M,−11.1M
Dinah Jane,Fifth Harmony,317k,12.2M,−11.9M
Lauren Jauregui,Fifth Harmony,916k,12.2M,−11.3M
Camila Cabello,Fifth Harmony,20.1M,12.2M,7.95M
JENNIE,BLACKPINK,554k,19.4M,−18.9M
Terry Ellis,En Vogue,3.43k,864k,−861k
Maxine Jones,En Vogue,218,864k,−864k
Nicole Scherzinger,The Pussycat Dolls,1.72M,4.08M,−2.36M
Ashley Roberts,The Pussycat Dolls,3.02k,4.08M,−4.08M
Jessica Sutta,The Pussycat Dolls,6.22k,4.08M,−4.07M
Melody Thornton,The Pussycat Dolls,4.76k,4.08M,−4.07M
Susanna Hoffs,The Bangles,10.2k,831k,−821k
Ashley Poole,Dream,92.0,190k,−190k
Melissa Schuman,Dream,88.0,190k,−190k
Diana Ortiz,Dream,20.0,190k,−190k
Meelah,702,1.31k,491k,−490k
Joi Marshall,Jade,50.0,22.1k,−22.1k
Myracle Holloway,Jade,265,22.1k,−21.9k
Carnie Wilson,Wilson Phillips,212,350k,−350k
Chynna Phillips,Wilson Phillips,765,350k,−349k
Bernadette Cooper,Klymaxx,81.0,179k,−179k
Joyce Irby,Klymaxx,217,179k,−179k
Nicci Gilbert,Brownstone,377,291k,−291k
Siobhan Fahey,Bananarama,825,485k,−484k
Gioia Bruno,Exposé,104,172k,−172k
Kelly Moneymaker,Exposé,139,172k,−172k
Kandi,Xscape,119k,1.03M,−910k
Tamika Scott,Xscape,757,1.03M,−1.03M
Shaznay Lewis,All Saints,8.06k,359k,−351k
Mutya Buena,The Sugababes,25.7k,476k,−450k
Siobhan Donaghy,The Sugababes,13.5k,476k,−462k
HA:TFELT,Wonder Girls,67.9k,400k,−332k
SUNMI,Wonder Girls,2.04M,400k,1.64M
HyunA,Wonder Girls,1.24M,400k,836k
Yubin,Wonder Girls,131k,400k,−269k
Aubrey O'Day,Danity Kane,17.5k,453k,−435k
Dawn Richard,Danity Kane,72.9k,453k,−380k
Shannon Bex,Danity Kane,204,453k,−453k
D. Woods,Danity Kane,867,453k,−452k
Pamela Long,Total,142,340k,−340k